AGENCY_NAME,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,EMAIL,SERVICES,NOTES,REGION
Home Instead - Lincoln,"1400 Dahlberg Dr, Suite E",Lincoln,NE,68512,(402) 423-8119,homeinstead.com/101,,Companionship; meal prep; housekeeping; medication reminders; 24-hour care; Alzheimer's/dementia care,National franchise - 10 NE locations,Lincoln
Visiting Angels - Lincoln,"3120 O St, Suite A",Lincoln,NE,68510,(402) 735-0999,visitingangels.com/lincoln,,Companion care; personal care; dementia care; respite care; fall prevention; palliative care,National franchise,Lincoln
Right at Home - Lincoln,"2120 South 56th St, Suite 205",Lincoln,NE,68506,(402) 488-4421,rightathome.net,,Companionship; personal care; homemaker services; skilled nursing; hospice; respite; transportation,Open 24/7,Lincoln
SYNERGY HomeCare - Lincoln,"245 S. 84th St, Suite 114",Lincoln,NE,68510,(402) 261-2067,synergyhomecare.com/ne-lincoln-68510,,Senior care; companion care; memory care; stroke recovery; hospital-to-home; live-in care,4.7 stars - 235 reviews,Lincoln
Senior Helpers - SE Nebraska,"3801 Union Dr, Suite 204",Lincoln,NE,68516,(402) 205-1030,seniorhelpers.com/ne/lincoln,,Companion care; personal care; Alzheimer's/dementia specialized care,Serves Lincoln; Beatrice; Seward; Waverly,Lincoln
Cornerstone Caregiving - Lincoln,"6201 S. 58th St, Suite C",Lincoln,NE,68516,(402) 875-5511,cornerstonecaregiving.com/locations/lincoln-ne,,Personal care; meal prep; medication reminders; transportation; Alzheimer's/dementia; hospice support,Serves Waverly; Beatrice; Tecumseh,Lincoln
Home Care Partners of Nebraska,"6121 S 58th St, Unit D",Lincoln,NE,68516,(402) 780-1211,homecarepartners.com,,Assisted living at home; memory care; stroke recovery; Parkinson's care; hospital-to-home,Locally owned - top-3 rated in Lincoln,Lincoln
Nurse Next Door - Lincoln,(Lincoln service area),Lincoln,NE,,(402) 207-5363,nursenextdoor.com/location/lincoln-ne,kim.mccord@nursenextdoor.com,Personal care; dementia/Alzheimer's; companion care; transportation; respite; 24-hour care,24/7 availability - 365 days/year,Lincoln
Sunlight Senior Care,(Lincoln metro area),Lincoln,NE,,(402) 204-1895,sunlightseniorcare.com,,Companionship; dementia care; personal care; non-medical senior care,Founded 2014 in Lincoln; also serves Omaha & Des Moines,Lincoln
AmanaCare,"5001 NW 1st St, Suite 7",Lincoln,NE,68521,(402) 440-5878,amana-care.com,contact@amana-care.com,Personal care; companion care; dementia care; post-hospital care,Faith-based; family-owned,Lincoln
St Raphael Living Assistance Care LLC,"2540 W O St, Unit 4",Lincoln,NE,68528,(970) 576-8236,straphaelliving.com,,Daily activities assistance; personal care,Mon-Fri 9-5; on-call 24/7,Lincoln
Care at Heart Senior Care,(Lincoln area),Lincoln,NE,,(781) 354-6821,careatheartinc.com,info@careatheartinc.com,Personal care; companionship; Alzheimer's/dementia care; meal prep; medication reminders,Open 24/7,Lincoln
DUO Homecare LLC,7343 Rachel Road,Lincoln,NE,68516,,,,,Smaller local agency,Lincoln
Hillcrest Home Care - Lincoln,"245 S. 84th St, Suite 111",Lincoln,NE,68510,(531) 739-3400,hillcresthealth.com,,Skilled nursing; PT/OT/speech therapy; cardiac care; diabetic care; wound care; telehealth,CMS 4.5-star rating; serves 7 NE counties,Lincoln
Caretech - Lincoln,"233 S 13th St, Suite 1100",Lincoln,NE,68508,(402) 906-4820,caretechinc.com,info@caretechinc.com,Companion care; personal care; dementia care; respite; 24-hour care; veteran services,Family-owned since 1999; serves all NE counties,Lincoln
Home Instead - Metro Omaha,"10830 Old Mill Rd, Suite 101",Omaha,NE,68154,(402) 498-3444,homeinstead.com,,Companionship; personal care; Alzheimer's/dementia; 24-hour care; meal prep,National franchise HQ in Omaha,Omaha Metro
Home Instead - Papillion (Sarpy/Cass),"114 E 1st St, Suite 109",Papillion,NE,68046,(402) 292-6611,homeinstead.com/110,,Respite; Alzheimer's/dementia; veteran care; companionship; medication reminders,Also serves Pottawattamie Co IA,Omaha Metro
Visiting Angels - Omaha,"701 Galvin Rd S, Suite 102",Bellevue,NE,68005,(402) 917-8225,visitingangels.com/omaha,,Meal prep; housekeeping; bathing/dressing; medication reminders; Alzheimer's/dementia; hospice,Est. 2017; accepts Medicaid; VA,Omaha Metro
Comfort Keepers - Omaha,"4060 Vinton St, Suite 100",Omaha,NE,68105,(402) 991-9880,comfortkeepers.com/offices/nebraska/omaha,,Companion care; housekeeping; 24-hour care; respite care; Alzheimer's/dementia care,Serves Omaha; Bellevue; Ralston; La Vista; Papillion; Carter Lake IA,Omaha Metro
Right at Home - Omaha,"13304 W Center Rd, Suite 225",Omaha,NE,68144,(800) 805-3621,rightathome.net,,Companionship; personal care; skilled nursing; hospice; respite; transportation,Also at 11949 Q St Omaha 68137,Omaha Metro
