rank,tier,provider_name,city,state,phone,website,contact_email,source,owner_name,owner_source,founded_or_npi_date,personal_detail,pain_hypothesis,angle,status
1,1,Care For All Home Health Care,Omaha,NE,,https://careforallhomecare.com,info@careforallhomecare.com,Agency website contact page,,,,,,,
2,1,"Lormu Lerpweh Homecare, LLC",Omaha,NE,,https://lormuhomecare.com,info@lormuhomecare.com,Agency website contact page,,,,,,,
3,1,"Zutan Home HealthCare, Inc.",Omaha,NE,,https://www.zutanhhc.com,zutanhomehealth@gmail.com,Agency website contact page,,,,,,,
4,1,ABRIA Home Health,Omaha,NE,,https://abriahomehealth.com,abriahomehealth@gmail.com,Agency website contact page,,,,,,,
5,1,Good Shepherd Home Health Services LLC,Omaha,NE,,https://www.goodshepherdhhs.com,garner@goodshepherdhhs.com,Agency website contact page,,,,,,,
6,1,1st Choice Home Care,Omaha,NE,,https://1stchoicehomecareomaha.com,info.1stchoicehomecare@gmail.com,Agency website,,,,,,,
7,1,"Five Star Home Care of Nebraska, LLC",Omaha,NE,,https://homecareofnebraska.com,fivestarnebraska@outlook.com,Agency website and BBB listing,,,,,,,
8,1,Hillcrest Home Care - Omaha,Bellevue,NE,,https://www.hillcresthealth.com,info@hillcresthealth.com,Agency website and BBB listing,,,,,,,
9,1,"Caretech, Inc.",Omaha,NE,,https://caretechinc.com,info@caretechinc.com,"Agency website (also serves Scottsbluff, Columbus, Lincoln, North Platte)",,,,,,,
10,1,Amakes Quality Home Care Inc.,Omaha,NE,,https://www.amakeshomecare.com,karak@amakeshomecare.com,Agency website contact page,,,,,,,
11,1,PreciousOne At Home,Omaha,NE,,https://preciousoneathome.com,preciousoneathome@gmail.com,Agency website,,,,,,,
12,1,"Bellevie Home Health Care, LLC",Bellevue,NE,,https://bellevieinhomecare.com,info@bellevieinhomecare.com,Agency website,,,,,,,
13,1,Warm Embrace Home Care LLC,Omaha,NE,,https://www.warmembracehc.org,sommer@warmembracehc.org,Agency website contact page,Sommer Lisenby,NPI registry 1306643622 (authorized official),NPI enumerated 2025-02-25 (agency ~18 months old),Elkhorn NE; homepage leads with personalized care plans; dementia and respite care; personal-name email,Owner still does intake visits and writes plans and contracts herself at night,care-plan writing + local founder,researched (see playbook worked example)
14,1,Touching Hearts at Home - Omaha,Omaha,NE,,https://www.touchinghearts.com/omaha,sharter@touchinghearts.com,HSAC Inc member directory,,,,,,,
15,1,"Concierge Home Care, LLC",Omaha,NE,,https://conciergehomecareomaha.com,conciergehomecareomaha@outlook.com,Agency website,,,,,,,
16,1,Caring Friends In-Home Care,Lincoln,NE,,https://caringfriends.com,info@caringfriends.com,Agency website contact page,,,,,,,
17,1,Senior Helpers of Southeast Nebraska,Lincoln,NE,,https://www.seniorhelpers.com/ne/lincoln,abartels@seniorhelpers.com,Agency website contact page,,,,,,,
18,1,Keep Em Home,Lincoln,NE,,https://www.keepemhome.net,info@keepemhome.net,Agency website contact page,,,,,,,
19,1,Respect Home Care LLC,Lincoln,NE,,https://www.respecthomecarellc.com,respectcare612@gmail.com,Agency website,,,,,,,
20,1,AmanaCare,North Platte,NE,,https://amana-care.com,contact@amana-care.com,Agency website (also serves Kearney and Scottsbluff),,,,,,,
21,1,Hallmark Homecare - Lincoln,Lincoln,NE,,https://hallmarkhomecare.com,jviergutz@hallmarkhomecare.com,Agency website,,,,,,,
22,1,Caring Hearts Home Care,West Des Moines,IA,,https://www.caringheartshomecare.com,info@caringheartshomecare.com,Agency website contact page,,,,,,,
23,1,"Iowa Home Care, LLC",Des Moines,IA,,https://iowahomecare.com,contactus@iowahomecare.com,Agency website contact page,,,,,,,
24,1,Optimae Home Health Services,Des Moines,IA,,https://optimaelifeservices.com,info@optimaelifeservices.com,Agency website and Iowa Healthcare Association,,,,,,,
25,1,Always Best Care Senior Services - Cedar Rapids,Cedar Rapids,IA,,https://alwaysbestcare.com/cedar-rapids,jruhinda@abc-seniors.com,Agency website contact page,,,,,,,
